,userid,version,sum_gamerounds,retention_1,retention_7,gameround_group
1,337,gate_30,38,True,False,A
2,377,gate_40,165,True,False,N
4,488,gate_40,179,True,True,O
5,540,gate_40,187,True,True,P
8,1574,gate_40,108,True,True,H
9,1587,gate_40,153,True,False,M
13,2179,gate_30,39,True,False,A
15,2382,gate_30,73,True,False,E
18,2482,gate_30,108,True,True,H
22,2695,gate_40,45,True,False,B
23,2729,gate_30,105,False,True,H
27,3132,gate_40,80,True,True,F
30,3204,gate_40,53,True,True,C
31,3413,gate_30,37,True,False,A
33,3696,gate_30,50,False,False,C
38,4283,gate_30,103,False,False,H
43,4916,gate_40,49,True,False,B
53,5661,gate_30,136,True,False,K
54,5712,gate_30,105,True,True,H
56,5943,gate_40,76,False,False,E
57,6099,gate_40,138,False,False,K
59,6151,gate_30,94,True,True,G
63,6695,gate_40,127,True,False,J
68,7124,gate_40,108,True,True,H
69,7253,gate_30,45,True,False,B
72,7527,gate_30,80,False,False,F
75,7767,gate_30,139,True,True,K
77,8063,gate_30,50,True,False,C
94,9308,gate_40,95,True,False,G
102,10200,gate_40,106,False,True,H
113,10884,gate_40,49,True,False,B
114,11093,gate_40,54,True,True,C
115,11127,gate_30,66,True,True,D
117,11411,gate_30,122,True,True,J
118,11420,gate_30,75,True,False,E
126,12163,gate_30,47,True,False,B
129,12523,gate_30,31,True,False,A
141,13321,gate_40,56,False,False,C
143,13429,gate_30,60,False,True,D
145,13633,gate_30,67,False,False,D
146,13664,gate_30,42,True,True,B
147,13721,gate_40,65,True,False,D
153,13969,gate_40,42,False,False,B
155,14218,gate_30,129,False,True,J
157,14296,gate_30,37,False,False,A
164,15294,gate_30,51,True,True,C
176,16638,gate_40,51,True,False,C
180,17270,gate_30,49,True,False,B
183,17477,gate_30,46,True,True,B
184,17506,gate_40,127,True,True,J
188,17947,gate_30,104,True,True,H
193,18374,gate_40,53,True,False,C
195,18756,gate_30,38,True,True,A
198,18849,gate_40,74,True,True,E
203,19490,gate_30,72,True,False,E
209,19728,gate_40,79,True,True,E
210,19746,gate_30,65,False,True,D
218,20465,gate_30,108,True,False,H
222,20721,gate_40,99,False,True,G
229,21137,gate_40,91,True,False,G
230,21228,gate_40,149,True,True,L
232,21442,gate_40,68,True,False,D
246,23084,gate_40,85,True,True,F
252,23525,gate_40,191,True,True,H
253,23702,gate_40,115,True,False,I
254,23748,gate_40,45,True,False,B
256,24222,gate_30,134,True,True,K
265,25332,gate_30,152,True,True,M
268,25941,gate_40,73,True,False,E
270,26083,gate_30,100,True,True,H
274,26502,gate_30,147,True,True,L
281,27759,gate_30,61,True,True,D
282,27849,gate_40,61,True,False,D
283,27851,gate_40,75,True,False,E
284,27979,gate_30,75,False,False,E
285,28025,gate_30,57,True,False,C
286,28091,gate_30,35,True,False,A
291,28497,gate_40,77,True,True,E
295,29455,gate_30,51,True,True,C
299,29753,gate_40,69,True,False,D
307,30348,gate_30,48,True,True,B
309,30631,gate_30,61,False,True,D
313,31151,gate_30,59,False,False,C
314,31200,gate_30,141,True,False,L
315,31214,gate_30,53,False,True,C
319,31812,gate_30,37,True,False,A
325,32642,gate_30,40,False,False,B
333,33445,gate_30,77,False,True,E
335,33639,gate_40,45,True,False,B
336,33703,gate_40,43,True,False,B
339,33967,gate_30,33,True,True,A
340,34016,gate_40,47,True,False,B
341,34022,gate_40,72,False,True,E
344,34447,gate_40,93,True,True,G
353,35027,gate_40,58,True,False,C
354,35056,gate_30,84,True,False,F
356,35458,gate_40,56,False,False,C
357,35460,gate_30,43,True,False,B
358,35730,gate_30,50,True,False,C
362,36003,gate_30,48,True,False,B
363,36047,gate_40,85,True,True,F
365,36279,gate_30,41,True,False,B
370,36560,gate_40,48,True,False,B
372,36664,gate_40,51,False,True,C
374,36761,gate_40,134,True,True,K
379,37303,gate_30,177,True,True,O
382,37740,gate_30,39,True,True,A
392,39494,gate_30,87,True,False,F
393,39531,gate_30,71,True,False,E
396,39932,gate_30,55,True,True,C
398,40233,gate_40,78,True,False,E
402,40427,gate_30,96,True,False,G
405,40630,gate_40,99,True,False,G
406,40653,gate_30,107,True,False,H
413,41795,gate_30,136,True,True,K
419,42407,gate_30,45,False,True,B
424,42994,gate_40,113,True,True,I
