,userid,version,sum_gamerounds,retention_1,retention_7
1,337,gate_30,38,True,False
2,377,gate_40,165,True,False
4,488,gate_40,179,True,True
5,540,gate_40,187,True,True
8,1574,gate_40,108,True,True
9,1587,gate_40,153,True,False
13,2179,gate_30,39,True,False
14,2218,gate_30,305,True,True
15,2382,gate_30,73,True,False
17,2451,gate_30,204,True,True
18,2482,gate_30,108,True,True
22,2695,gate_40,45,True,False
23,2729,gate_30,105,False,True
27,3132,gate_40,80,True,True
30,3204,gate_40,53,True,True
31,3413,gate_30,37,True,False
33,3696,gate_30,50,False,False
34,3993,gate_40,202,True,True
38,4283,gate_30,103,False,False
43,4916,gate_40,49,True,False
45,4929,gate_30,386,True,True
53,5661,gate_30,136,True,False
54,5712,gate_30,105,True,True
56,5943,gate_40,76,False,False
57,6099,gate_40,138,False,False
59,6151,gate_30,94,True,True
63,6695,gate_40,127,True,False
67,6930,gate_40,297,True,True
68,7124,gate_40,108,True,True
69,7253,gate_30,45,True,False
72,7527,gate_30,80,False,False
75,7767,gate_30,139,True,True
77,8063,gate_30,50,True,False
94,9308,gate_40,95,True,False
102,10200,gate_40,106,False,True
109,10636,gate_30,246,True,True
113,10884,gate_40,49,True,False
114,11093,gate_40,54,True,True
115,11127,gate_30,66,True,True
117,11411,gate_30,122,True,True
118,11420,gate_30,75,True,False
126,12163,gate_30,47,True,False
129,12523,gate_30,31,True,False
141,13321,gate_40,56,False,False
143,13429,gate_30,60,False,True
145,13633,gate_30,67,False,False
146,13664,gate_30,42,True,True
147,13721,gate_40,65,True,False
153,13969,gate_40,42,False,False
155,14218,gate_30,129,False,True
157,14296,gate_30,37,False,False
164,15294,gate_30,51,True,True
176,16638,gate_40,51,True,False
180,17270,gate_30,49,True,False
183,17477,gate_30,46,True,True
184,17506,gate_40,127,True,True
188,17947,gate_30,104,True,True
193,18374,gate_40,53,True,False
195,18756,gate_30,38,True,True
198,18849,gate_40,74,True,True
203,19490,gate_30,72,True,False
209,19728,gate_40,79,True,True
210,19746,gate_30,65,False,True
218,20465,gate_30,108,True,False
222,20721,gate_40,99,False,True
229,21137,gate_40,91,True,False
230,21228,gate_40,149,True,True
